Lan,Datum,Uppskattning,Low_CI,High_CI
Västernorrland,2021-06-25,0.25,0.01,2.82
Västmanland,2021-06-25,0.24,0,2.26
Västra Götaland,2021-06-25,0.3,0.14,0.63
Blekinge,2021-06-26,0.19,0,2.63
Dalarna,2021-06-26,0.54,0.06,3.04
Gävleborg,2021-06-26,0.36,0.03,2.29
Gotland,2021-06-26,,,
Halland,2021-06-26,0.23,0.02,1.61
Jämtland,2021-06-26,0.11,0,3.77
Jönköping,2021-06-26,0.24,0.01,1.88
Kalmar,2021-06-26,0.14,0,3.17
Kronoberg,2021-06-26,0.2,0.01,3.3
Norrbotten,2021-06-26,0.23,0,3.77
Örebro,2021-06-26,0.2,0,2.43
Östergötland,2021-06-26,0.28,0.01,1.57
Skåne,2021-06-26,0.21,0.1,0.44
Södermanland,2021-06-26,0.38,0.03,2.67
Stockholm,2021-06-26,0.32,0.18,0.57
Uppsala,2021-06-26,0.23,0.05,0.83
Värmland,2021-06-26,0.32,0.03,1.94
Västerbotten,2021-06-26,0.22,0,2.83
Västernorrland,2021-06-26,0.16,0,2.79
Västmanland,2021-06-26,0.24,0,2.26
Västra Götaland,2021-06-26,0.28,0.13,0.6
Blekinge,2021-06-27,0.19,0,2.64
Dalarna,2021-06-27,0.5,0.05,2.93
Gävleborg,2021-06-27,0.34,0.02,2.26
Gotland,2021-06-27,,,
Halland,2021-06-27,0.22,0.01,1.56
Jämtland,2021-06-27,0.08,0,3.86
Jönköping,2021-06-27,0.24,0.02,1.89
Kalmar,2021-06-27,0.17,0,3.13
Kronoberg,2021-06-27,0.18,0,3.22
Norrbotten,2021-06-27,0.18,0,3.59
Örebro,2021-06-27,0.21,0,2.41
Östergötland,2021-06-27,0.27,0.01,1.54
Skåne,2021-06-27,0.2,0.09,0.42
Södermanland,2021-06-27,0.29,0.01,2.7
Stockholm,2021-06-27,0.29,0.16,0.53
Uppsala,2021-06-27,0.25,0.05,0.86
Värmland,2021-06-27,0.28,0.02,1.83
Västerbotten,2021-06-27,0.19,0,2.93
Västernorrland,2021-06-27,0.16,0,2.79
Västmanland,2021-06-27,0.23,0,2.27
Västra Götaland,2021-06-27,0.25,0.11,0.56
Blekinge,2021-06-28,0.19,0,2.59
Dalarna,2021-06-28,0.42,0.02,2.81
Gävleborg,2021-06-28,0.38,0.03,2.32
Gotland,2021-06-28,,,
Halland,2021-06-28,0.23,0.01,1.61
Jämtland,2021-06-28,0.1,0,3.73
Jönköping,2021-06-28,0.22,0.01,1.86
Kalmar,2021-06-28,0.15,0,3.21
Kronoberg,2021-06-28,0.2,0,3.24
Norrbotten,2021-06-28,0.16,0,3.85
Örebro,2021-06-28,0.21,0,2.46
Östergötland,2021-06-28,0.27,0.01,1.55
Skåne,2021-06-28,0.2,0.1,0.42
Södermanland,2021-06-28,0.24,0,2.69
Stockholm,2021-06-28,0.28,0.15,0.52
Uppsala,2021-06-28,0.24,0.05,0.85
Värmland,2021-06-28,0.33,0.04,1.93
Västerbotten,2021-06-28,0.17,0,2.9
Västernorrland,2021-06-28,0.2,0,2.84
Västmanland,2021-06-28,0.25,0,2.28
Västra Götaland,2021-06-28,0.23,0.1,0.55
Blekinge,2021-06-29,0.21,0,2.63
Dalarna,2021-06-29,0.46,0.02,2.95
Gävleborg,2021-06-29,0.39,0.04,2.3
Gotland,2021-06-29,,,
Halland,2021-06-29,0.24,0.02,1.54
Jämtland,2021-06-29,0.09,0,3.72
Jönköping,2021-06-29,0.19,0.01,1.8
Kalmar,2021-06-29,0.16,0,3.03
Kronoberg,2021-06-29,0.19,0,2.99
Norrbotten,2021-06-29,0.16,0,3.71
Örebro,2021-06-29,0.21,0,2.46
Östergötland,2021-06-29,0.28,0.02,1.57
Skåne,2021-06-29,0.2,0.1,0.42
Södermanland,2021-06-29,0.22,0,2.65
Stockholm,2021-06-29,0.28,0.14,0.52
Uppsala,2021-06-29,0.22,0.04,0.82
Värmland,2021-06-29,0.35,0.05,1.94
Västerbotten,2021-06-29,0.16,0,2.96
Västernorrland,2021-06-29,0.29,0.01,3.03
Västmanland,2021-06-29,0.16,0,2.1
Västra Götaland,2021-06-29,0.25,0.1,0.56
Blekinge,2021-06-30,0.24,0,2.77
Dalarna,2021-06-30,0.4,0.02,2.84
Gävleborg,2021-06-30,0.43,0.04,2.33
Gotland,2021-06-30,,,
Halland,2021-06-30,0.26,0.03,1.56
Jämtland,2021-06-30,0.11,0,4.03
Jönköping,2021-06-30,0.2,0.01,1.79
Kalmar,2021-06-30,0.16,0,2.94
Kronoberg,2021-06-30,0.22,0,2.89
Norrbotten,2021-06-30,0.24,0,3.87
Örebro,2021-06-30,0.17,0,2.44
Östergötland,2021-06-30,0.3,0.02,1.56
Skåne,2021-06-30,0.19,0.09,0.41
Södermanland,2021-06-30,0.35,0.01,2.88
Stockholm,2021-06-30,0.3,0.16,0.56
Uppsala,2021-06-30,0.2,0.03,0.79
Värmland,2021-06-30,0.33,0.04,1.86
Västerbotten,2021-06-30,0.15,0,2.82
Västernorrland,2021-06-30,0.23,0,2.89
Västmanland,2021-06-30,0.15,0,2.09
Västra Götaland,2021-06-30,0.24,0.1,0.56
Blekinge,2021-07-01,0.24,0,2.82
Dalarna,2021-07-01,0.39,0.01,2.74
Gävleborg,2021-07-01,0.35,0.02,2.25
Gotland,2021-07-01,,,
Halland,2021-07-01,0.23,0.02,1.53
Jämtland,2021-07-01,0.15,0,4.09
Jönköping,2021-07-01,0.24,0.01,1.91
Kalmar,2021-07-01,0.14,0,2.92
Kronoberg,2021-07-01,0.18,0,2.72
Norrbotten,2021-07-01,0.27,0,3.9
Örebro,2021-07-01,0.16,0,2.59
Östergötland,2021-07-01,0.33,0.03,1.61
Skåne,2021-07-01,0.18,0.08,0.4
Södermanland,2021-07-01,0.31,0,2.73
Stockholm,2021-07-01,0.29,0.15,0.54
Uppsala,2021-07-01,0.25,0.05,0.87
Värmland,2021-07-01,0.31,0.04,1.82
Västerbotten,2021-07-01,0.25,0,2.92
Västernorrland,2021-07-01,0.26,0.01,2.74
Västmanland,2021-07-01,0.15,0,2.16
Västra Götaland,2021-07-01,0.22,0.09,0.53
Blekinge,2021-07-02,0.23,0,2.79
Dalarna,2021-07-02,0.41,0.02,2.74
Gävleborg,2021-07-02,0.37,0.03,2.21
Gotland,2021-07-02,,,
Halland,2021-07-02,0.24,0.02,1.54
Jämtland,2021-07-02,0.28,0,4.15
Jönköping,2021-07-02,0.22,0.01,1.98
Kalmar,2021-07-02,0.14,0,2.92
Kronoberg,2021-07-02,0.13,0,2.65
Norrbotten,2021-07-02,0.38,0.01,3.88
Örebro,2021-07-02,0.18,0,2.63
Östergötland,2021-07-02,0.32,0.03,1.57
Skåne,2021-07-02,0.18,0.08,0.4
Södermanland,2021-07-02,0.32,0.01,2.73
Stockholm,2021-07-02,0.26,0.14,0.49
Uppsala,2021-07-02,0.27,0.06,0.9
Värmland,2021-07-02,0.3,0.04,1.83
Västerbotten,2021-07-02,0.13,0,2.67
Västernorrland,2021-07-02,0.23,0,2.65
Västmanland,2021-07-02,0.21,0.01,2.23
Västra Götaland,2021-07-02,0.22,0.1,0.52
Blekinge,2021-07-03,0.16,0,2.62
Dalarna,2021-07-03,0.34,0.01,2.75
Gävleborg,2021-07-03,0.4,0.03,2.34
Gotland,2021-07-03,,,
Halland,2021-07-03,0.24,0.02,1.5
Jämtland,2021-07-03,0.27,0,4.14
Jönköping,2021-07-03,0.19,0.01,1.91
Kalmar,2021-07-03,0.17,0,2.97
Kronoberg,2021-07-03,0.14,0,2.66
Norrbotten,2021-07-03,0.45,0.01,4.05
Örebro,2021-07-03,0.18,0,2.47
Östergötland,2021-07-03,0.31,0.03,1.56
Skåne,2021-07-03,0.18,0.08,0.39
Södermanland,2021-07-03,0.28,0,2.7
Stockholm,2021-07-03,0.27,0.14,0.51
Uppsala,2021-07-03,0.23,0.05,0.83
Värmland,2021-07-03,0.34,0.05,1.97
Västerbotten,2021-07-03,0.26,0,2.88
Västernorrland,2021-07-03,0.23,0,2.75
Västmanland,2021-07-03,0.18,0,2.2
Västra Götaland,2021-07-03,0.23,0.1,0.53
Blekinge,2021-07-04,0.16,0,2.66
Dalarna,2021-07-04,0.32,0,2.78
Gävleborg,2021-07-04,0.39,0.03,2.33
Gotland,2021-07-04,,,
Halland,2021-07-04,0.22,0.01,1.48
Jämtland,2021-07-04,0.17,0,4.12
Jönköping,2021-07-04,0.17,0,1.97
Kalmar,2021-07-04,0.13,0,2.83
Kronoberg,2021-07-04,0.14,0,2.67
Norrbotten,2021-07-04,0.44,0,3.95
Örebro,2021-07-04,0.19,0,2.53
Östergötland,2021-07-04,0.28,0.02,1.5
Skåne,2021-07-04,0.18,0.08,0.4
Södermanland,2021-07-04,0.28,0,2.67
Stockholm,2021-07-04,0.24,0.12,0.47
Uppsala,2021-07-04,0.26,0.06,0.88
Värmland,2021-07-04,0.3,0.03,2.04
Västerbotten,2021-07-04,0.14,0,2.77
Västernorrland,2021-07-04,0.21,0,2.74
Västmanland,2021-07-04,0.24,0.01,2.31
Västra Götaland,2021-07-04,0.24,0.1,0.56
Blekinge,2021-07-05,0.14,0,2.63
Dalarna,2021-07-05,0.26,0,2.58
Gävleborg,2021-07-05,0.29,0.01,2.25
Gotland,2021-07-05,,,
Halland,2021-07-05,0.22,0.02,1.45
Jämtland,2021-07-05,0.14,0,3.93
Jönköping,2021-07-05,0.19,0,1.93
Kalmar,2021-07-05,0.12,0,2.81
Kronoberg,2021-07-05,0.21,0,2.8
Norrbotten,2021-07-05,0.4,0.01,3.67
Örebro,2021-07-05,0.27,0,2.72
Östergötland,2021-07-05,0.29,0.02,1.52
Skåne,2021-07-05,0.19,0.08,0.41
Södermanland,2021-07-05,0.36,0.01,2.71
Stockholm,2021-07-05,0.24,0.12,0.47
Uppsala,2021-07-05,0.24,0.05,0.85
Värmland,2021-07-05,0.31,0.03,2.03
Västerbotten,2021-07-05,0.19,0,2.59
Västernorrland,2021-07-05,0.23,0,2.75
Västmanland,2021-07-05,0.22,0,2.27
Västra Götaland,2021-07-05,0.23,0.09,0.53
Blekinge,2021-07-06,0.13,0,2.64
Dalarna,2021-07-06,0.26,0,2.58
Gävleborg,2021-07-06,0.31,0.01,2.23
Gotland,2021-07-06,,,
Halland,2021-07-06,0.16,0.01,1.35
Jämtland,2021-07-06,0.19,0,3.59
Jönköping,2021-07-06,0.11,0,1.92
Kalmar,2021-07-06,0.05,0,2.98
Kronoberg,2021-07-06,0.25,0,3
Norrbotten,2021-07-06,0.43,0.01,3.69
Örebro,2021-07-06,0.26,0,2.6
Östergötland,2021-07-06,0.27,0.02,1.52
Skåne,2021-07-06,0.2,0.09,0.43
Södermanland,2021-07-06,0.37,0.01,2.66
Stockholm,2021-07-06,0.26,0.13,0.49
Uppsala,2021-07-06,0.26,0.06,0.86
Värmland,2021-07-06,0.25,0.02,1.98
Västerbotten,2021-07-06,0.15,0,2.63
Västernorrland,2021-07-06,0.24,0,2.66
Västmanland,2021-07-06,0.2,0.01,2.26
Västra Götaland,2021-07-06,0.22,0.09,0.53
Blekinge,2021-07-07,0.14,0,2.57
Dalarna,2021-07-07,0.27,0,2.54
Gävleborg,2021-07-07,0.31,0.02,2.19
Gotland,2021-07-07,,,
Halland,2021-07-07,0.15,0.01,1.39
Jämtland,2021-07-07,0.17,0,3.71
Jönköping,2021-07-07,0.13,0,1.95
Kalmar,2021-07-07,0.05,0,3.08
Kronoberg,2021-07-07,0.23,0,2.96
Norrbotten,2021-07-07,0.45,0.01,3.72
Örebro,2021-07-07,0.26,0,2.55
Östergötland,2021-07-07,0.24,0.01,1.45
Skåne,2021-07-07,0.2,0.09,0.43
Södermanland,2021-07-07,0.25,0.01,2.39
Stockholm,2021-07-07,0.28,0.15,0.52
Uppsala,2021-07-07,0.27,0.07,0.88
Värmland,2021-07-07,0.25,0.02,1.96
Västerbotten,2021-07-07,0.24,0,2.71
Västernorrland,2021-07-07,0.18,0,2.61
Västmanland,2021-07-07,0.22,0.01,2.21
Västra Götaland,2021-07-07,0.24,0.1,0.56
Blekinge,2021-07-08,0.15,0,2.47
Dalarna,2021-07-08,0.35,0.01,2.8
Gävleborg,2021-07-08,0.3,0.01,2.29
Gotland,2021-07-08,,,
Halland,2021-07-08,0.16,0.01,1.38
Jämtland,2021-07-08,0.16,0,3.68
Jönköping,2021-07-08,0.09,0,1.84
Kalmar,2021-07-08,0.05,0,2.99
Kronoberg,2021-07-08,0.19,0,2.93
Norrbotten,2021-07-08,0.46,0.02,3.53
Örebro,2021-07-08,0.34,0,2.81
Östergötland,2021-07-08,0.29,0.02,1.57
Skåne,2021-07-08,0.19,0.08,0.42
Södermanland,2021-07-08,0.24,0.01,2.45
Stockholm,2021-07-08,0.27,0.14,0.51
Uppsala,2021-07-08,0.25,0.06,0.85
Värmland,2021-07-08,0.17,0.01,1.84
Västerbotten,2021-07-08,0.3,0,2.72
Västernorrland,2021-07-08,0.17,0,2.59
Västmanland,2021-07-08,0.2,0,2.19
Västra Götaland,2021-07-08,0.25,0.1,0.56
Blekinge,2021-07-09,0.14,0,2.52
Dalarna,2021-07-09,0.37,0.01,2.9
Gävleborg,2021-07-09,0.26,0.01,2.25
Gotland,2021-07-09,,,
Halland,2021-07-09,0.14,0.01,1.35
Jämtland,2021-07-09,0.14,0,3.65
Jönköping,2021-07-09,0.07,0,1.78
Kalmar,2021-07-09,0.13,0,3.05
Kronoberg,2021-07-09,0.2,0,2.94
Norrbotten,2021-07-09,0.47,0.01,3.66
Örebro,2021-07-09,0.37,0.01,2.9
Östergötland,2021-07-09,0.27,0.01,1.58
Skåne,2021-07-09,0.2,0.09,0.43
Södermanland,2021-07-09,0.24,0.01,2.54
Stockholm,2021-07-09,0.27,0.14,0.51
Uppsala,2021-07-09,0.28,0.07,0.89
Värmland,2021-07-09,0.13,0.01,1.83
Västerbotten,2021-07-09,0.22,0,2.53
Västernorrland,2021-07-09,0.17,0.01,2.64
Västmanland,2021-07-09,0.15,0,2.16
Västra Götaland,2021-07-09,0.27,0.12,0.59
Blekinge,2021-07-10,0.13,0,2.64
Dalarna,2021-07-10,0.5,0.03,3.1
Gävleborg,2021-07-10,0.33,0.02,2.29
Gotland,2021-07-10,,,
Halland,2021-07-10,0.14,0,1.43
Jämtland,2021-07-10,0.16,0,3.68
Jönköping,2021-07-10,0.08,0,1.83
Kalmar,2021-07-10,0.1,0,2.93
Kronoberg,2021-07-10,0.28,0.01,3.09
Norrbotten,2021-07-10,0.5,0.01,3.65
Örebro,2021-07-10,0.29,0,2.8
Östergötland,2021-07-10,0.32,0.03,1.65
Skåne,2021-07-10,0.18,0.08,0.4
Södermanland,2021-07-10,0.25,0.01,2.55
Stockholm,2021-07-10,0.28,0.15,0.52
Uppsala,2021-07-10,0.25,0.05,0.87
Värmland,2021-07-10,0.12,0,1.81
Västerbotten,2021-07-10,0.22,0,2.51
Västernorrland,2021-07-10,0.17,0,2.72
Västmanland,2021-07-10,0.15,0,2.21
Västra Götaland,2021-07-10,0.24,0.1,0.55
Blekinge,2021-07-11,0.13,0,2.62
Dalarna,2021-07-11,0.43,0.02,2.93
Gävleborg,2021-07-11,0.3,0.02,2.24
Gotland,2021-07-11,,,
Halland,2021-07-11,0.14,0,1.45
Jämtland,2021-07-11,0.13,0,3.68
Jönköping,2021-07-11,0.08,0,1.8
Kalmar,2021-07-11,0.11,0,2.88
Kronoberg,2021-07-11,0.26,0.01,3.22
Norrbotten,2021-07-11,0.5,0.01,3.67
Örebro,2021-07-11,0.32,0,2.72
Östergötland,2021-07-11,0.27,0.01,1.64
Skåne,2021-07-11,0.16,0.07,0.38
Södermanland,2021-07-11,0.24,0.01,2.48
Stockholm,2021-07-11,0.27,0.14,0.51
Uppsala,2021-07-11,0.25,0.05,0.88
Värmland,2021-07-11,0.13,0.01,1.86
Västerbotten,2021-07-11,0.23,0,2.46
Västernorrland,2021-07-11,0.21,0,2.71
Västmanland,2021-07-11,0.09,0,2.1
Västra Götaland,2021-07-11,0.2,0.08,0.5
Blekinge,2021-07-12,0.13,0,2.62
Dalarna,2021-07-12,0.39,0.02,2.87
Gävleborg,2021-07-12,0.35,0.01,2.34
Gotland,2021-07-12,,,
Halland,2021-07-12,0.13,0,1.41
Jämtland,2021-07-12,0.13,0,3.92
Jönköping,2021-07-12,0.1,0,1.91
Kalmar,2021-07-12,0.12,0,2.98
Kronoberg,2021-07-12,0.21,0,3.09
Norrbotten,2021-07-12,0.36,0.01,3.76
Örebro,2021-07-12,0.17,0,2.46
Östergötland,2021-07-12,0.22,0.01,1.57
Skåne,2021-07-12,0.16,0.07,0.39
Södermanland,2021-07-12,0.23,0.01,2.48
Stockholm,2021-07-12,0.24,0.12,0.47
Uppsala,2021-07-12,0.22,0.04,0.84
Värmland,2021-07-12,0.14,0.01,1.84
Västerbotten,2021-07-12,0.18,0,2.43
Västernorrland,2021-07-12,0.25,0.01,2.71
Västmanland,2021-07-12,0.11,0,2.12
Västra Götaland,2021-07-12,0.19,0.07,0.49
Blekinge,2021-07-13,0.13,0,2.56
Dalarna,2021-07-13,0.37,0.01,2.81
Gävleborg,2021-07-13,0.34,0.01,2.41
Gotland,2021-07-13,,,
Halland,2021-07-13,0.11,0,1.43
Jämtland,2021-07-13,0.06,0,4.15
Jönköping,2021-07-13,0.13,0,1.94
Kalmar,2021-07-13,0.2,0,3.14
Kronoberg,2021-07-13,0.22,0,2.83
Norrbotten,2021-07-13,0.44,0.01,3.89
Örebro,2021-07-13,0.19,0,2.62
Östergötland,2021-07-13,0.23,0.01,1.58
Skåne,2021-07-13,0.17,0.07,0.39
Södermanland,2021-07-13,0.26,0.01,2.52
Stockholm,2021-07-13,0.24,0.12,0.47
Uppsala,2021-07-13,0.25,0.05,0.89
Värmland,2021-07-13,0.17,0.01,1.91
Västerbotten,2021-07-13,0.21,0,2.56
Västernorrland,2021-07-13,0.43,0.01,3.08
Västmanland,2021-07-13,0.12,0,2.08
Västra Götaland,2021-07-13,0.19,0.07,0.49
Blekinge,2021-07-14,0.11,0,2.55
Dalarna,2021-07-14,0.36,0.01,2.73
Gävleborg,2021-07-14,0.3,0.01,2.28
Gotland,2021-07-14,,,
Halland,2021-07-14,0.08,0,1.43
Jämtland,2021-07-14,0.05,0,3.82
Jönköping,2021-07-14,0.12,0,1.93
Kalmar,2021-07-14,0.17,0,3.03
Kronoberg,2021-07-14,0.41,0.01,3.26
Norrbotten,2021-07-14,0.22,0,3.43
Örebro,2021-07-14,0.18,0,2.6
Östergötland,2021-07-14,0.21,0.01,1.55
Skåne,2021-07-14,0.19,0.08,0.42
Södermanland,2021-07-14,0.19,0,2.48
Stockholm,2021-07-14,0.22,0.11,0.45
Uppsala,2021-07-14,0.3,0.07,0.97
Värmland,2021-07-14,0.18,0,2.02
Västerbotten,2021-07-14,0.21,0,2.66
Västernorrland,2021-07-14,0.4,0.01,3.11
Västmanland,2021-07-14,0.16,0,2.13
Västra Götaland,2021-07-14,0.18,0.06,0.47
Blekinge,2021-07-15,0.09,0,2.65
Dalarna,2021-07-15,0.32,0.01,2.75
Gävleborg,2021-07-15,0.33,0.01,2.26
Gotland,2021-07-15,,,
Halland,2021-07-15,0.1,0,1.38
Jämtland,2021-07-15,0.05,0,3.98
Jönköping,2021-07-15,0.26,0,2.21
Kalmar,2021-07-15,0.16,0,3.1
Kronoberg,2021-07-15,0.32,0,3.12
Norrbotten,2021-07-15,0.21,0,3.53
Örebro,2021-07-15,0.23,0,2.63
Östergötland,2021-07-15,0.17,0,1.54
Skåne,2021-07-15,0.19,0.08,0.42
Södermanland,2021-07-15,0.13,0,2.45
Stockholm,2021-07-15,0.25,0.12,0.49
Uppsala,2021-07-15,0.23,0.04,0.87
Värmland,2021-07-15,0.24,0.02,2.06
Västerbotten,2021-07-15,0.16,0,2.77
Västernorrland,2021-07-15,0.51,0.01,3.37
Västmanland,2021-07-15,0.14,0,2.07
Västra Götaland,2021-07-15,0.19,0.07,0.49
Blekinge,2021-07-16,0.09,0,2.66
Dalarna,2021-07-16,0.42,0.01,2.95
Gävleborg,2021-07-16,0.32,0.01,2.24
Gotland,2021-07-16,,,
Halland,2021-07-16,0.1,0,1.5
Jämtland,2021-07-16,0.05,0,3.98
Jönköping,2021-07-16,0.26,0,2.32
Kalmar,2021-07-16,0.1,0,3.12
Kronoberg,2021-07-16,0.32,0,3.12
Norrbotten,2021-07-16,0.23,0,3.55
Örebro,2021-07-16,0.18,0,2.55
Östergötland,2021-07-16,0.21,0.01,1.6
Skåne,2021-07-16,0.19,0.08,0.44
Södermanland,2021-07-16,0.12,0,2.44
Stockholm,2021-07-16,0.22,0.11,0.44
Uppsala,2021-07-16,0.21,0.04,0.83
Värmland,2021-07-16,0.24,0.02,1.96
Västerbotten,2021-07-16,0.16,0,2.72
Västernorrland,2021-07-16,0.47,0.01,3.38
Västmanland,2021-07-16,0.09,0,2.06
Västra Götaland,2021-07-16,0.16,0.05,0.45
Blekinge,2021-07-17,0.08,0,2.57
Dalarna,2021-07-17,0.43,0.01,3.02
Gävleborg,2021-07-17,0.24,0,2.25
Gotland,2021-07-17,,,
Halland,2021-07-17,0.15,0,1.56
Jämtland,2021-07-17,0.05,0,3.98
Jönköping,2021-07-17,0.23,0,2.28
Kalmar,2021-07-17,0.13,0,3.26
Kronoberg,2021-07-17,0.25,0,3.05
Norrbotten,2021-07-17,0.15,0,3.38
Örebro,2021-07-17,0.18,0,2.55
Östergötland,2021-07-17,0.19,0,1.53
Skåne,2021-07-17,0.16,0.07,0.39
Södermanland,2021-07-17,0.12,0,2.39
Stockholm,2021-07-17,0.23,0.12,0.47
Uppsala,2021-07-17,0.23,0.04,0.86
Värmland,2021-07-17,0.19,0.01,1.92
Västerbotten,2021-07-17,0.16,0,2.66
Västernorrland,2021-07-17,0.5,0.01,3.38
Västmanland,2021-07-17,0.08,0,2.05
Västra Götaland,2021-07-17,0.17,0.06,0.48
Blekinge,2021-07-18,0.07,0,2.5
Dalarna,2021-07-18,0.29,0,2.7
Gävleborg,2021-07-18,0.3,0.01,2.32
Gotland,2021-07-18,,,
Halland,2021-07-18,0.16,0,1.62
Jämtland,2021-07-18,0.05,0,3.97
Jönköping,2021-07-18,0.22,0,2.19
Kalmar,2021-07-18,0.17,0,3.38
Kronoberg,2021-07-18,0.19,0,2.96
Norrbotten,2021-07-18,0.14,0,3.36
Örebro,2021-07-18,0.25,0,2.72
Östergötland,2021-07-18,0.15,0,1.43
Skåne,2021-07-18,0.17,0.07,0.4
Södermanland,2021-07-18,0.17,0,2.49
Stockholm,2021-07-18,0.22,0.11,0.45
Uppsala,2021-07-18,0.23,0.04,0.86
Värmland,2021-07-18,0.2,0.01,1.96
Västerbotten,2021-07-18,0.13,0,2.62
Västernorrland,2021-07-18,0.42,0.01,3.16
Västmanland,2021-07-18,0.08,0,2.13
Västra Götaland,2021-07-18,0.17,0.06,0.48
Blekinge,2021-07-19,0.08,0,2.44
Dalarna,2021-07-19,0.24,0,2.53
Gävleborg,2021-07-19,0.28,0.01,2.37
Gotland,2021-07-19,,,
Halland,2021-07-19,0.17,0,1.57
Jämtland,2021-07-19,0.07,0,3.86
Jönköping,2021-07-19,0.2,0,2.1
Kalmar,2021-07-19,0.18,0,3.39
Kronoberg,2021-07-19,0.4,0,3.38
Norrbotten,2021-07-19,0.15,0,3.37
Örebro,2021-07-19,0.21,0,2.59
Östergötland,2021-07-19,0.16,0,1.44
Skåne,2021-07-19,0.17,0.07,0.4
Södermanland,2021-07-19,0.19,0,2.51
Stockholm,2021-07-19,0.21,0.1,0.43
Uppsala,2021-07-19,0.27,0.06,0.9
Värmland,2021-07-19,0.15,0,1.97
Västerbotten,2021-07-19,0.15,0,2.82
Västernorrland,2021-07-19,0.37,0,3.08
Västmanland,2021-07-19,0.09,0,2.1
Västra Götaland,2021-07-19,0.17,0.06,0.48
Blekinge,2021-07-20,0.09,0,2.53
Dalarna,2021-07-20,0.24,0,2.52
Gävleborg,2021-07-20,0.29,0.01,2.35
Gotland,2021-07-20,,,
Halland,2021-07-20,0.14,0,1.56
Jämtland,2021-07-20,0.18,0,4.2
Jönköping,2021-07-20,0.21,0,2.18
Kalmar,2021-07-20,0.09,0,3.32
Kronoberg,2021-07-20,0.32,0,3.37
Norrbotten,2021-07-20,0.15,0,3.38
Örebro,2021-07-20,0.26,0,2.79
Östergötland,2021-07-20,0.14,0,1.44
Skåne,2021-07-20,0.19,0.08,0.43
Södermanland,2021-07-20,0.14,0,2.3
Stockholm,2021-07-20,0.24,0.12,0.47
Uppsala,2021-07-20,0.29,0.07,0.93
Värmland,2021-07-20,0.15,0,1.97
Västerbotten,2021-07-20,0.29,0,2.9
Västernorrland,2021-07-20,0.4,0.01,3.12
Västmanland,2021-07-20,0.08,0,2.22
Västra Götaland,2021-07-20,0.16,0.05,0.47
Blekinge,2021-07-21,0.11,0,2.66
Dalarna,2021-07-21,0.24,0,2.54
Gävleborg,2021-07-21,0.27,0.01,2.34
Gotland,2021-07-21,,,
Halland,2021-07-21,0.16,0,1.59
Jämtland,2021-07-21,0.18,0,4.07
Jönköping,2021-07-21,0.32,0,2.39
Kalmar,2021-07-21,0.08,0,3.44
Kronoberg,2021-07-21,0.3,0,3.32
Norrbotten,2021-07-21,0.16,0,3.29
Örebro,2021-07-21,0.37,0.01,2.88
Östergötland,2021-07-21,0.15,0,1.47
Skåne,2021-07-21,0.19,0.08,0.42
Södermanland,2021-07-21,0.13,0.01,2.38
Stockholm,2021-07-21,0.26,0.14,0.5
Uppsala,2021-07-21,0.29,0.07,0.95
Värmland,2021-07-21,0.15,0,1.95
Västerbotten,2021-07-21,0.19,0,2.85
Västernorrland,2021-07-21,0.44,0.01,3.19
Västmanland,2021-07-21,0.1,0,2.21
Västra Götaland,2021-07-21,0.16,0.04,0.46
Blekinge,2021-07-22,0.1,0,2.59
Dalarna,2021-07-22,0.29,0,2.5
Gävleborg,2021-07-22,0.38,0.02,2.47
Gotland,2021-07-22,,,
Halland,2021-07-22,0.17,0,1.63
Jämtland,2021-07-22,0.3,0,4.28
Jönköping,2021-07-22,0.14,0.01,2.02
Kalmar,2021-07-22,0.06,0,3.3
Kronoberg,2021-07-22,0.19,0,3.16
Norrbotten,2021-07-22,0.17,0,3.31
Örebro,2021-07-22,0.4,0.01,3.01
Östergötland,2021-07-22,0.16,0,1.49
Skåne,2021-07-22,0.16,0.06,0.38
Södermanland,2021-07-22,0.19,0.01,2.44
Stockholm,2021-07-22,0.29,0.15,0.53
Uppsala,2021-07-22,0.34,0.08,1.02
Värmland,2021-07-22,0.1,0,1.93
Västerbotten,2021-07-22,0.21,0,2.88
Västernorrland,2021-07-22,0.43,0.01,3.1
Västmanland,2021-07-22,0.16,0,2.24
Västra Götaland,2021-07-22,0.15,0.04,0.46
Blekinge,2021-07-23,0.1,0,2.59
Dalarna,2021-07-23,0.35,0.01,2.62
Gävleborg,2021-07-23,0.39,0.02,2.61
Gotland,2021-07-23,,,
Halland,2021-07-23,0.16,0,1.59
Jämtland,2021-07-23,0.3,0,4.29
Jönköping,2021-07-23,0.23,0.01,2.07
Kalmar,2021-07-23,0.08,0,3.44
Kronoberg,2021-07-23,0.18,0,3.23
Norrbotten,2021-07-23,0.1,0,3.33
Örebro,2021-07-23,0.34,0,2.89
Östergötland,2021-07-23,0.13,0,1.45
Skåne,2021-07-23,0.16,0.07,0.39
Södermanland,2021-07-23,0.18,0.01,2.51
Stockholm,2021-07-23,0.28,0.15,0.53
Uppsala,2021-07-23,0.27,0.06,0.91
Värmland,2021-07-23,0.16,0,2.05
Västerbotten,2021-07-23,0.22,0,2.89
Västernorrland,2021-07-23,0.44,0.01,3.15
Västmanland,2021-07-23,0.16,0,2.3
